item_id,statement_guid,property_id,wikidata_value,meta_wikidata_value,external_value,external_url,type
Q1155614,Q1155614$F1B3B270-19BA-41B8-A6C3-BDF844D1645A,P571,1992,Q1985727,1990,https://musicbrainz.org/artist/bbd2242b-1e2c-49e6-9572-652fee7f8ed0,statement
Q1161175,Q1161175$5E3F3959-2EC0-4902-8E91-BCFCD4E08777,P571,1966-01-01,Q1985727,1966-06-30,https://musicbrainz.org/artist/24a90cfe-9fc5-4e4f-ba9b-db90c6df5dc2,statement
Q1163975,Q1163975$AC2C7B3C-FCA6-4CC4-AEC4-FFB316E48577,P571,2001,Q1985727,2000,https://musicbrainz.org/artist/5a597939-2e96-4de0-bda9-d1bbac8ebfda,statement
Q1165655,Q1165655$350F9E8C-1FEA-42CD-9770-09835C9E89D0,P571,1975-01-01,Q1985727,1975-09-03,https://musicbrainz.org/artist/e135d690-9c53-4333-8f11-98aec8c9f434,statement
Q116730323,Q116730323$5315b4e5-425d-ad8e-a899-d47367b798e6,P571,2017-01-01,Q1985727,2017-01-01,https://musicbrainz.org/artist/8b52e683-caa2-4460-b38c-ffbb5ae009d5,statement
Q116769887,Q116769887$887fdbb2-4973-a7de-9705-935d95c6b14b,P571,2012-01-01,Q1985727,2012-01-01,https://musicbrainz.org/artist/17266045-90cd-47cc-96bc-39e15d71d79e,statement
Q116929572,Q116929572$6d5a51a6-4b67-f52e-b8ab-fa0abe7b6ad1,P571,2019-01-01,Q1985727,2019-08-12,https://musicbrainz.org/artist/50b4e3a6-be0b-4e42-bea2-4e5c1446c536,statement
Q117522,Q117522$EF691D43-3AF0-472B-97A6-8135C1B01215,P571,1996,Q1985727,1995,https://musicbrainz.org/artist/35723b60-732e-4bd8-957f-320b416e7b7f,statement
Q1183784,Q1183784$08FF2A8B-DDDE-420B-B8EE-D44A1E97F12B,P571,1983,Q1985727,1980,https://musicbrainz.org/artist/5b86617f-e775-4675-b6d3-c4ad95d05409,statement
Q1186426,Q1186426$F9C26719-E5C7-41D9-B137-0E5585374255,P571,1979,Q1985727,1980,https://musicbrainz.org/artist/6fe68e16-dcce-498e-99ea-c35a496b3ac9,statement
Q1190060,Q1190060$A63F02EE-AD82-478C-99DA-E6F3056FB887,P571,1966,Q1985727,1967,https://musicbrainz.org/artist/a6339659-c879-4f88-9908-206d47963e29,statement
Q120986483,Q120986483$49a78aa8-4b6b-0405-e22e-f5b32c70af74,P571,1971-01-01,Q1985727,1971-01-25,https://musicbrainz.org/artist/7cec0620-d2f5-4a8e-bb89-689a5464cd76,statement
Q123148190,Q123148190$4ed0e925-4611-c8c1-c646-b2f7b16d3b6e,P571,2010-01-01,Q1985727,2016-02-01,https://musicbrainz.org/artist/4619c6b2-11d0-443d-bc61-a218b437e6dd,statement
Q1233917,Q1233917$23786B66-35AE-4361-82BC-61245912C0B1,P571,1974,Q1985727,1973,https://musicbrainz.org/artist/82d43e52-0fe6-440b-9d6f-c8cf145fdcec,statement
Q124813072,Q124813072$9e93e64d-4a21-1a38-87d7-4730214a883d,P571,1999,Q1985727,1995,https://musicbrainz.org/artist/d86337d1-a031-4588-a318-934867b17dfc,statement
Q1254813,Q1254813$F69669DC-960E-4E99-8DAB-FEB6F95280B0,P571,2000-01-01,Q1985727,2001-01-25,https://musicbrainz.org/artist/2d4bc261-0c96-4599-8c9f-81d5dc0760c7,statement
Q1286899,Q1286899$51DCC265-8296-4685-A1BA-24F185DCA2F2,P571,2006,Q1985727,2005,https://musicbrainz.org/artist/95bab79d-e5e8-4d7a-9368-d51430763c69,statement
Q1300077,Q1300077$4c1d3026-4f3f-13ba-4deb-f22bea5acd63,P571,1968,Q1985727,1969,https://musicbrainz.org/artist/5eea3eaa-87e9-4f65-aa64-8dade115062d,statement
Q1304686,Q1304686$80D510F7-0B7E-4195-B6C8-5F52385A27EB,P571,1996,Q1985727,1997,https://musicbrainz.org/artist/03e57b38-65b7-45ba-b8ac-6fa608c060d7,statement
Q1310839,Q1310839$52206FDA-9C57-4F8E-ADA6-6A9044F6C52D,P571,1962,Q1985727,1960,https://musicbrainz.org/artist/f200e1a5-43c6-42e1-a715-d9742d6559ef,statement
Q1324761,Q1324761$9604184B-2D61-418D-8CFB-BAD76589E9FC,P571,2011,Q1985727,2009,https://musicbrainz.org/artist/86aa555e-3035-4493-a28f-1f1fac9f0473,statement
Q1327743,Q1327743$43259781-D34E-4CD9-AA15-154F694FC30D,P571,1993,Q1985727,1995,https://musicbrainz.org/artist/201b9c59-fcd8-4ffd-8efe-2bc41a74c494,statement
