q_value,value1,value2
Q1050695,a39074d3-5c3c-4ab3-b80d-32108be94103,1976-06-05T00:00:00Z
Q105076439,c114447d-3acc-41a0-92a4-c12ec12ccfaa,2003-02-10T00:00:00Z
Q105091262,bd95d8b2-963a-46e7-9d51-4897535bff38,2000-05-29T00:00:00Z
Q1052374,63366712-c7fc-487d-88ed-e2c815d84e3e,1946-03-30T00:00:00Z
Q1052746,8e4cde67-3102-4739-b49d-7483936b7cdc,1972-02-14T00:00:00Z
Q1052770,5115929f-f133-47b4-bf1c-8a0df582ce23,1965-12-14T00:00:00Z
Q1052910,acabd355-9d7b-49de-810b-77bd08b12b1d,1965-05-17T00:00:00Z
Q1052950,001c3ecc-6668-42a1-befa-73d876acdb2e,1938-01-14T00:00:00Z
Q105340567,447f6316-364a-4125-9cb3-1d437bfd4311,1999-06-18T00:00:00Z
Q1053409,b0dbab43-2e55-4036-8c57-0900c669cc1e,1931-08-03T00:00:00Z
Q1053643,fb82112f-0573-409e-abc1-963c0a48e3fa,1938-05-13T00:00:00Z
Q1053798,9f8f54fb-955a-4265-bc49-5d88ecb2fa4f,1954-08-31T00:00:00Z
Q105393956,7d2e0846-157d-4b84-8ef9-b12c6378cc61,1977-01-15T00:00:00Z
Q1054165,a386515e-1cc9-43d8-a278-68adbd2b101e,1948-05-15T00:00:00Z
Q1054391,3763e390-e1e6-4bff-984a-86418a9ed324,1938-09-14T00:00:00Z
Q1054527,850ccd7c-31d0-4c06-8543-d0f1072fdc87,1921-09-15T00:00:00Z
Q1054564,9298257c-e9b4-4baa-bf4b-a04475d0422c,1954-11-06T00:00:00Z
Q1054853,00f47b6a-18a7-4b1a-bb3d-7bc4a9e40169,1943-06-01T00:00:00Z
Q1054853,316fb40e-6b83-455c-8b69-48143760f08b,1943-06-01T00:00:00Z
Q105492589,51548c4b-671c-41ab-bd8f-b84b3f2b40cb,1996-10-17T00:00:00Z
Q1055011,fe688db3-aa76-4c46-992d-3c0b39bd037e,1888-05-12T00:00:00Z
Q1055784,0307e832-9986-4bf9-86a4-875fe7e34fa1,1953-02-07T00:00:00Z
Q1056570,4bf7ea2f-b7f7-477c-a266-3b47189eb8e4,1920-04-20T00:00:00Z
Q105659302,149b2e4f-55f9-4d68-bcc9-07677659acd5,1930-04-17T00:00:00Z
