item_id,statement_guid,property_id,wikidata_value,meta_wikidata_value,external_value,external_url,type
Q1517721,Q1517721$36383361-4bdd-608e-a256-b96daeee8812,P569,1977,Q1985727,2006,https://musicbrainz.org/artist/30d639db-5c8f-494e-a937-460a4b67f3b4,statement
Q1517721,Q1517721$36383361-4bdd-608e-a256-b96daeee8812,P569,1977,Q1985727,2006,https://musicbrainz.org/artist/30d639db-5c8f-494e-a937-460a4b67f3b4,statement
Q1517721,Q1517721$36383361-4bdd-608e-a256-b96daeee8812,P569,1977,Q1985727,2006,https://musicbrainz.org/artist/30d639db-5c8f-494e-a937-460a4b67f3b4,statement
Q1517721,Q1517721$36383361-4bdd-608e-a256-b96daeee8812,P569,1977,Q1985727,2006,https://musicbrainz.org/artist/30d639db-5c8f-494e-a937-460a4b67f3b4,statement
Q1522376,Q1522376$2CC21309-9F4A-45ED-BB0C-D823625113B1,P569,1942-01-01,Q1985727,1942-10-23,https://musicbrainz.org/artist/166ccb55-2d32-4f8d-aef2-9e3121ff6b50,statement
Q1522602,Q1522602$9DE74A65-6BCA-4BBC-8384-5D452DAA4EE2,P569,1961-05-01,Q1985727,1961-03-01,https://musicbrainz.org/artist/3bf73847-a761-4bab-a549-d936fc1915fa,statement
Q153670,q153670$1A09F996-FEFD-402C-8C36-98B5CA9A9D47,P569,1918-07-31,Q1985727,1919-07-31,https://musicbrainz.org/artist/76973584-91bb-4117-9516-869563db6cf1,statement
Q15427629,Q15427629$D1D43CB5-5B53-442A-99E0-E1B00E8AA315,P569,1981-00-00,Q1985727,1981-06-28,https://musicbrainz.org/artist/9b0c673a-45cc-4b6f-9e37-0b912e91e1de,statement
Q15427629,Q15427629$D1D43CB5-5B53-442A-99E0-E1B00E8AA315,P569,1981-00-00,Q1985727,1981-06-28,https://musicbrainz.org/artist/9b0c673a-45cc-4b6f-9e37-0b912e91e1de,statement
Q1544132,Q1544132$86DBC2E3-0977-40F7-95AB-6AECE67C2A27,P569,1962-11-18,Q1985727,1968-11-12,https://musicbrainz.org/artist/9b193f3b-5af4-432f-bf96-2748baecf31c,statement
Q15448826,Q15448826$02F02F61-824C-4D96-95B7-3D36394272EF,P569,1978-07-25,Q1985727,1976-07-25,https://musicbrainz.org/artist/db46a9ed-7316-4f5c-bf3e-ae1bd3317787,statement
Q161122,Q161122$a6b75221-4d0d-20d6-9179-8aaefd10eaaf,P569,1978-09-11,Q1985727,1973-09-11,https://musicbrainz.org/artist/94b9d46e-9b13-4707-9b54-b9c4888b5c1c,statement
Q16216685,Q16216685$3F30ACAF-7B43-4634-A6B1-F6B0B32A62A5,P569,1977,Q1985727,2005,https://musicbrainz.org/artist/51a4b538-18cc-42aa-87b2-5865e8224af4,statement
Q16218605,Q16218605$9763111C-5A16-4D8E-AE65-B2A45F91EA44,P569,1979,Q1985727,1978,https://musicbrainz.org/artist/144531d3-96e8-46e6-bb0a-a99ade8e6dd4,statement
Q16268595,Q16268595$B2FBF6DA-2F39-42B3-93A3-8D0EFCA2A4E6,P569,1971-00-00,Q1985727,1971-07-04,https://musicbrainz.org/artist/9197a318-b738-4fbf-b379-ef5c5ec783f4,statement
Q16268595,Q16268595$B2FBF6DA-2F39-42B3-93A3-8D0EFCA2A4E6,P569,1971-00-00,Q1985727,1971-07-04,https://musicbrainz.org/artist/9197a318-b738-4fbf-b379-ef5c5ec783f4,statement
Q16440170,Q16440170$805A716E-A482-478A-BA13-18E166434739,P569,1946,Q1985727,1982,https://musicbrainz.org/artist/984e5cb6-9042-4e15-897b-d46aac5d6b53,statement
Q16545353,Q16545353$98FC8207-6B36-4BB1-AE4F-22B5A8D485E2,P569,1982-02-21,Q1985727,1982-02-19,https://musicbrainz.org/artist/3e267428-e6f6-4da8-a787-d865c1c21b87,statement
Q16564682,Q16564682$DE3A865A-E9F2-4024-A434-994EE913EC54,P569,1924-02-02,Q1985727,1924-06-16,https://musicbrainz.org/artist/1e888769-9e49-43e9-a39e-c65e37d8be16,statement
Q16564682,Q16564682$DE3A865A-E9F2-4024-A434-994EE913EC54,P569,1924-02-02,Q1985727,1924-06-16,https://musicbrainz.org/artist/1e888769-9e49-43e9-a39e-c65e37d8be16,statement
