q_value,value1,value2
Q102344,b8783511-6df9-4026-9d0a-076c334c71dd,2018-06-09T00:00:00Z
Q102347,0a826305-8f97-4129-84eb-2b7ffa0a7b67,1988-06-13T00:00:00Z
Q102351,b55e1097-8dcd-4032-bd21-72c838909386,1967-06-13T00:00:00Z
Q102351,b55e1097-8dcd-4032-bd21-72c838909386,1975-06-13T00:00:00Z
Q102398,a3e56ee2-2a0b-47b9-acae-8974f3990b28,2005-12-01T00:00:00Z
Q102407,9af636fe-4784-4920-9a9e-754c559735de,2021-12-03T00:00:00Z
Q102501,fbb43a0d-102a-43f4-904a-c07c4377b766,1992-02-06T00:00:00Z
Q102504,f0b66d19-918f-4848-aa98-edabcad292f2,1998-03-19T00:00:00Z
Q102577,ce397236-8738-407d-93bc-76f67bd0884d,1926-09-13T00:00:00Z
Q102608,87fdf296-88e8-4961-8347-0d54666ff739,1922-12-06T00:00:00Z
Q102630,3ab16630-f2c1-4597-b7ae-f466df7e3f9b,2003-05-28T00:00:00Z
Q102678,8e03bde7-7431-48c6-bf5c-b5823265c76e,2017-09-28T00:00:00Z
Q102772,4a074804-b42b-4bbd-a15c-51eee6021bfc,2018-06-15T00:00:00Z
Q1028753,03cb26f5-6532-4105-8aec-c896eaff722c,1994-02-13T00:00:00Z
Q102902,e10fbaa8-de99-47a0-9994-e0731f29beae,2015-09-04T00:00:00Z
Q1029027,c4de4be9-e3e4-439b-ad0c-6fc502610b94,2013-03-05T00:00:00Z
Q102961,fdc30361-deb5-4633-9bd0-24de3b41e36e,1996-05-23T00:00:00Z
Q1030436,52eaab20-d3a3-41dd-a058-4bb638c56567,1993-04-06T00:00:00Z
Q103132,c7f91efa-65b0-46bb-ba80-1f1b2579d492,1999-02-15T00:00:00Z
Q103171,cb72e1cb-2c13-4e44-8358-8acbb78f4412,1597-10-23T00:00:00Z
Q103179,853218e2-48c0-421b-bdf1-8050194d1a8c,2009-05-30T00:00:00Z
Q103222,bef4d882-857d-4653-aa0a-82197b8c678a,1986-01-01T00:00:00Z
Q10323220,481afc4a-e4b6-4451-bf6a-7d7e31463098,2023-02-16T00:00:00Z
Q103351,ecdcfb61-e63f-4a6a-8360-31cd74d997bf,1976-07-28T00:00:00Z
Q103386,3294885d-7129-4f8c-b7ca-e1ba955f128b,2021-09-01T00:00:00Z
Q103488,c1d4b4b0-1988-4928-95dd-f8c1e50b1107,1999-05-14T00:00:00Z
Q103553,e39c9bdd-45fa-4ce5-967f-3a58cd53a5a0,1556-01-01T00:00:00Z
Q103566,77e1d5d9-fade-4d19-b4c5-0335e988dcb3,1630-01-01T00:00:00Z
Q103624,4ddc97dd-b3ea-4342-a28f-956a1602d9a4,2022-12-26T00:00:00Z
Q1036555,8ae2e489-c6cb-42ec-8f07-5e13e2d752d2,2023-09-04T00:00:00Z
Q1036823,01980037-e4aa-41cc-9333-6b0b4f269452,2018-06-06T00:00:00Z
Q1037183,f52225ec-a81e-439b-aa2d-33daa368d904,1936-02-02T00:00:00Z
Q1037249,01b57de9-d3d1-4fe8-851f-1644be5f72aa,1806-05-01T00:00:00Z
Q1037365,124ce8fd-f7f8-43b7-89e2-39e66a67cc1c,1954-05-15T00:00:00Z
Q1037382,c63d65d4-a3ba-4d9e-bee6-b4142c22c6d3,1947-06-11T00:00:00Z
Q103751,6510f577-449d-44ba-ba20-a48e0e24f341,2000-05-27T00:00:00Z
Q1038384,7f2e241c-a511-45ad-af61-22bc07b94c6a,1853-01-04T00:00:00Z
