item_id,statement_guid,property_id,wikidata_value,meta_wikidata_value,external_value,external_url,type
Q121565,Q121565$C4EA0B15-4185-42FF-915A-69B79C15F3B2,P570,1969-12-01,Q1985727,1969-01-12,https://musicbrainz.org/artist/1a0ba40b-d298-4ef9-88d0-1ae20283c59e,statement
Q12230086,Q12230086$D9A17F05-280C-494A-A035-45DF11AE9F9D,P570,2001-00-00,Q1985727,2001-01-29,https://musicbrainz.org/artist/2678985e-0db1-4a4b-a3e5-cef126812b8f,statement
Q12319808,Q12319808$2C4FC61D-65AD-4B4E-AB95-50C0B88F1A0B,P570,1815-00-00,Q1985727,1815-07-17,https://musicbrainz.org/artist/e9e49d9c-1ec8-4ff1-90d5-870fac1d26a3,statement
Q123291,Q123291$CFFB73F4-A7CA-4961-B2B2-B1DC0E8659FF,P570,1926-03-05,Q1985727,1926-05-05,https://musicbrainz.org/artist/a51c7220-8076-4abe-bc61-ce8d93818363,statement
Q1233349,Q1233349$64AECF38-1CF5-4D1F-9DF2-DED4CAA96208,P570,2008-12-11,Q1985727,2008-12-10,https://musicbrainz.org/artist/a4483cfd-00d3-4419-b00a-a8622248e545,statement
Q123345,Q123345$B27E97C2-8A7A-4F80-8381-9AE6BA83445A,P570,1975-10-29,Q1985727,1975-10-24,https://musicbrainz.org/artist/c89ed633-0210-4fc4-adee-bd6c957aa27b,statement
Q126300,Q126300$88E9FF3F-E2EC-497C-A012-6A2A0F4EFBC3,P570,1981-08-31,Q1985727,1981-05-08,https://musicbrainz.org/artist/f135c5f6-d49d-44eb-b324-8ed01765a6da,statement
Q126300,Q126300$88E9FF3F-E2EC-497C-A012-6A2A0F4EFBC3,P570,1981-08-31,Q1985727,1981-05-08,https://musicbrainz.org/artist/f135c5f6-d49d-44eb-b324-8ed01765a6da,statement
Q1277689,Q1277689$7c28699c-46ab-23ec-2e2e-4b724112badb,P570,2014-12-00,Q1985727,2014-12-11,https://musicbrainz.org/artist/76cbb5a9-7018-4eaa-91ce-437d4f280283,statement
Q1277689,Q1277689$7c28699c-46ab-23ec-2e2e-4b724112badb,P570,2014-12-00,Q1985727,2014-12-11,https://musicbrainz.org/artist/76cbb5a9-7018-4eaa-91ce-437d4f280283,statement
Q1287372,Q1287372$2b3e0d70-4b83-3b20-8161-b7dfcc31efa7,P570,2013-03-13,Q1985727,2013-05-13,https://musicbrainz.org/artist/dac61486-075a-46d7-a1c4-76d9c218b952,statement
Q1321787,Q1321787$9B6503D4-D1C3-4B3E-9962-1A3B1EB8A7C9,P570,1991,Q1985727,1981,https://musicbrainz.org/artist/0ae92fd2-a05f-4feb-851b-3594bbeccba9,statement
Q1323104,Q1323104$027850cb-4ea9-f841-590a-c8026f95d239,P570,2014-05-30,Q1985727,2014-05-29,https://musicbrainz.org/artist/c0930dff-fdbd-44af-be1b-30cc5b2f976b,statement
Q1330220,Q1330220$1D74A1AC-08A7-48D3-9EDD-F1061970195C,P570,2007-12-14,Q1985727,2008-12-14,https://musicbrainz.org/artist/769e7b06-4a4c-489b-827a-d2aea3d569ae,statement
Q1350356,Q1350356$071A79FC-6709-4D42-91CA-C72BF8E77D99,P570,1990-08-30,Q1985727,1990-09-03,https://musicbrainz.org/artist/5741e104-57a5-483f-be90-e17469c410d0,statement
