q_value,value1,value2
Q1092346,a12818f3-fc34-43a9-8657-51a835915e6d,1982-01-01T00:00:00Z
Q1092373,538ceaf9-b638-4f87-bace-b8ba884629b5,1995-01-01T00:00:00Z
Q1093415,5752ebdf-9a18-4935-84ee-03c613d7bf5a,1990-01-01T00:00:00Z
Q10954099,00aecc8f-7adb-417f-94e7-26f12f814adb,2007-01-01T00:00:00Z
Q1101024,7177fefd-be55-4076-a10b-37fab913855e,2002-01-01T00:00:00Z
Q1101485,3f1f765d-8b6a-403f-a953-5a828a87ae28,1987-01-01T00:00:00Z
Q110276307,77f7a5ea-8d07-4c85-a02c-5505d406e0b2,2007-01-01T00:00:00Z
Q11036,b071f9fa-14b0-4217-8e97-eb41da73f598,1962-01-01T00:00:00Z
Q1104029,d8da3b06-ecac-4508-91e1-19af2c45dcd1,1976-01-01T00:00:00Z
Q110469609,15460dd2-1470-4c37-ace9-966f050712d8,2003-01-01T00:00:00Z
Q110670906,9cb9defb-8ab4-4a6a-b89f-2e185f40fc9c,1995-01-01T00:00:00Z
Q1107195,2269ab04-c82a-4a30-a908-a100b61f9940,1982-01-01T00:00:00Z
Q1107195,3f183292-f1af-40b5-8195-725003ed3cdc,1982-01-01T00:00:00Z
Q1107195,a956d00f-3f58-4576-83b7-7415bf58df4b,1982-01-01T00:00:00Z
Q1107195,c16fbb7e-57b1-462c-97c5-bd0e11248765,1982-01-01T00:00:00Z
Q1107195,c6dd3b2e-1aed-423c-a836-d508d9ce6dbb,1982-01-01T00:00:00Z
Q110892335,e818565b-0341-4d69-bcf8-32d7b21f8c48,1954-01-01T00:00:00Z
Q1108971,1b75ee35-1a0b-4ed7-8881-bf1e8548d15b,1970-01-01T00:00:00Z
Q111090968,e0a44061-14f2-429b-a22e-69db9d4afba3,1984-01-01T00:00:00Z
Q1111770,c74c3bb6-b471-42f3-a68a-54d27c388620,1976-01-01T00:00:00Z
Q1111834,76613929-cd74-4e16-9fc1-b8fd1dda8368,1968-01-01T00:00:00Z
Q1113447,409d9791-4b11-4303-991e-a5075ac39821,1981-01-01T00:00:00Z
Q111371335,9e573595-b9bb-4839-9877-c658234b3776,2014-01-01T00:00:00Z
Q111449038,a4b045e0-4f05-4c27-967d-650c3405c877,1970-01-01T00:00:00Z
Q111644798,5a6fc9a3-c864-421d-9518-702429019e2f,2018-01-01T00:00:00Z
Q111651474,fc5d6601-d51e-4ea6-9ed5-fb4206dc5c64,2014-01-01T00:00:00Z
Q1116554,5528ebce-9a4e-4e16-8e75-211e475928d6,1970-01-01T00:00:00Z
Q111692439,fc6b2bc2-d50d-46b4-8ac1-edbb414d9719,2015-01-01T00:00:00Z
Q111693580,10fbfd83-526a-4a10-867a-fbac3b66925a,2015-01-01T00:00:00Z
Q111710161,e80c1c9f-fbc7-410a-9c51-b0362eeca38b,2019-01-01T00:00:00Z
Q111712356,1510b3fd-c036-4439-a171-c192b7005750,2017-01-01T00:00:00Z
Q1120684,6386ddff-0d13-4685-9f0a-a82bf022fb1c,1993-01-01T00:00:00Z
Q1123510,46d18823-6a15-49ee-8376-c5f7a49530a6,2003-01-01T00:00:00Z
Q112428758,0f2a3c77-faca-4abd-abf8-c778e1f00640,1968-01-01T00:00:00Z
Q11250835,de766cee-ef67-4d98-8286-43ff5e0e6e4c,2006-01-01T00:00:00Z
Q1125169,26b2fc3e-9b9d-4a1b-9cf6-059915810ffd,2008-01-01T00:00:00Z
Q1126287,435f1441-0f43-479d-92db-a506449a686b,1969-01-01T00:00:00Z
Q1127565,f4ad883e-9a92-45ed-a540-a49c2d1c36dd,2005-01-01T00:00:00Z
Q112829450,3c4cb6fb-b01e-48dd-baca-7e62da194761,2007-01-01T00:00:00Z
Q1128539,a5c68ee2-a49b-4e09-b67b-6592e9223a1b,1980-01-01T00:00:00Z
Q1129579,3d09c1f9-846b-4e34-8936-07a8f0a6c620,2009-01-01T00:00:00Z
Q11301962,37c8098f-2813-4bc5-a4c8-0bd6ddae94ab,1973-01-01T00:00:00Z
Q1130624,d8661c02-f423-4d72-8044-40ff05daf7a1,1977-01-01T00:00:00Z
Q113131517,1167ecf0-a72a-41bd-bd7c-7ab2ea4b065e,1969-01-01T00:00:00Z
Q113149635,54bd5467-7470-4280-a8ac-89f33e0800a0,1980-01-01T00:00:00Z
Q1132434,a9399880-5587-457c-bc87-8c81fcf57cb1,1959-01-01T00:00:00Z
Q113361759,eb0cf932-29f0-4e42-a866-2440b18dc182,2005-01-01T00:00:00Z
Q1133978,6a3fdc71-8bc4-4aca-827a-717072b60635,2003-01-01T00:00:00Z
Q1134101,92046be7-0927-4835-a4ed-a90416747d53,1991-01-01T00:00:00Z
Q1134411,ffe9ec08-6b6b-4993-9394-e280b429dbfd,1996-01-01T00:00:00Z
Q113457422,198631e4-ecf9-4d79-88f9-d543c49da551,2007-01-01T00:00:00Z
Q113463491,7f5f6efa-015f-4f0f-8fbe-3d8b85514be8,2016-01-01T00:00:00Z
Q11351223,c29f5583-7b50-4920-9f63-d83b8e39dfde,2005-01-01T00:00:00Z
Q1135620,7f2a8098-50e3-451c-8696-c5d9f64f4762,1976-01-01T00:00:00Z
Q1136388,8c7a8406-f15a-408d-b0f6-23be813bdddc,1969-01-01T00:00:00Z
Q1137836,3bcc8af0-4335-4bb0-83ba-d0ce67ae6114,1982-01-01T00:00:00Z
Q1138179,deb2581a-48c6-4c9e-b71b-845515e93207,1979-01-01T00:00:00Z
Q113878754,1819e6e8-fee6-48df-8e9c-8949560d6f43,2016-01-01T00:00:00Z
Q1138865,f6dfc44d-5da4-4ed1-949b-32715630dff4,1986-01-01T00:00:00Z
Q1140055,a9b6eb5f-a00a-4f87-8af4-44191a28cdcc,2005-01-01T00:00:00Z
Q1140107,61783f55-23be-4199-b944-e322840a1f10,2000-01-01T00:00:00Z
Q1140600,648615ca-ca74-460d-928a-2bae67ae6d14,2005-01-01T00:00:00Z
Q1141454,6da6a053-618f-4f17-aea1-c8075bd8cc2d,1957-01-01T00:00:00Z
Q1141495,01f4fb92-6bf0-4de5-83dc-3fe194e763bf,1980-01-01T00:00:00Z
Q1141656,8d5660c7-50ab-43d5-84f9-79624b1f39ef,2006-01-01T00:00:00Z
Q1141817,75a881d8-80de-4f60-b56a-4eaaa29530d9,2003-01-01T00:00:00Z
Q1142296,6290b769-173d-49d1-990e-660a4e333877,2001-01-01T00:00:00Z
Q1142871,7c765661-2d55-495b-81f1-c7e971d9dd31,2001-01-01T00:00:00Z
Q1142906,c1dc5e6a-567a-4664-8f1a-0c618cfa72f3,1992-01-01T00:00:00Z
Q1144015,65041e06-83d2-4987-ae52-c17a915fc82a,1990-01-01T00:00:00Z
Q1144085,fc4dd8bf-048a-4fb0-bf36-0c0e47390b9a,1985-01-01T00:00:00Z
Q1144186,5b8f62d4-f0f2-4cd7-8106-4518dbd188db,2004-01-01T00:00:00Z
Q1144186,5b8f62d4-f0f2-4cd7-8106-4518dbd188db,2007-01-01T00:00:00Z
Q1145652,cc60d937-e80b-4c66-8aa2-e89cb57c8b08,1967-01-01T00:00:00Z
Q1145885,104d65cc-ac4e-4351-b62d-32438c84259f,1990-01-01T00:00:00Z
Q1145899,202d14e1-dbee-4fa1-8aeb-93bc4ba1b20b,1969-01-01T00:00:00Z
Q1146082,7005302b-22de-4399-a102-20bea816ad02,1992-01-01T00:00:00Z
Q1146465,8c936585-f1e5-4729-9402-98f319d265b0,1948-01-01T00:00:00Z
Q114651,3cc3942d-bbfc-446d-a8f4-f0e1e238ca86,1971-01-01T00:00:00Z
Q114656299,bcd55326-2d3e-4f94-bc1a-3d1e75ec851f,1998-01-01T00:00:00Z
